Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
434734.2919,1.587928,39.218006,-7.318511,39.512232,66.11196,73.815104,8.451525,23.506168,86.431149,40,75.395153,1.6,1.647499,40,68.874853,2.215333
434750.7441,1.593389,41.012046,-7.475265,40.299171,66.168104,74.248341,8.374914,23.491016,86.429531,40,73.415109,1.6,23.112062,40,68.558579,1.097033
434754.9037,1.597631,39.50658,-7.64124,39.567564,65.929531,74.39006,8.454139,23.52563,86.433306,40,73.701313,1.6,5.911344,40,68.902077,3.176027
434764.9018,1.585282,39.136662,-5.932316,39.539898,66.062418,74.241796,8.490317,23.570713,86.421888,40,74.082471,1.6,1.455236,40,68.271255,1.653111
434773.0586,1.61292,40.934396,-6.024524,39.0081,66.481329,74.759108,8.42902,23.674421,86.421079,40,72.774924,1.6,52.035117,40,69.265911,0.409463
434792.5669,1.569951,41.443487,-8.185267,41.310509,66.271679,74.512703,8.377058,23.579458,86.432386,40,72.609908,1.6,0.432673,40,67.955763,2.715189
434809.817,1.577805,39.032172,-7.967042,39.0081,66.054974,74.677534,8.523037,23.636484,86.429159,40,74.961336,1.6,23.645022,40,69.198034,1.714249
434822.0261,1.595111,39.226717,-6.685349,40.621938,66.046207,73.950229,8.402828,23.660626,86.427634,40,73.865986,1.6,1.881755,40,68.133566,2.671563
434830.487,1.611492,39.995953,-6.421019,39.21713,66.39787,74.583895,8.313047,23.551864,86.433408,40,73.42049,1.6,25.510081,40,68.891368,0.051238
434846.439,1.648791,41.210933,-9.110422,38.872845,65.835501,74.02536,8.368094,23.684764,86.428843,40,73.241227,1.6,17.278901,40,68.925627,2.795989
434848.643,1.621153,41.194658,-6.322664,41.276696,65.873053,75.175309,8.439332,23.635376,86.430089,40,72.299224,1.6,26.142151,40,67.659541,2.67187
434860.6971,1.558862,40.202447,-7.896349,39.702819,65.973133,74.833471,8.318697,23.616776,86.435045,40,73.005287,1.6,0.376066,40,68.52647,1.885066
434878.9891,1.607292,40.583534,-8.129942,41.067665,66.843898,74.292482,8.355022,23.586598,86.4367,40,73.927695,1.6,17.988563,40,68.08236,2.421174
434887.071,1.571295,38.896059,-7.754963,40.388316,66.447959,74.054667,8.285505,23.636482,86.439006,40,74.896368,1.6,22.771515,40,68.443775,0.277356
434897.15,1.601999,39.898658,-6.722232,38.94662,66.623157,74.602511,8.317203,23.598299,86.440159,40,73.087438,1.6,4.367242,40,68.51843,1.351416
434907.6421,1.629134,41.138079,-6.307296,39.86574,66.615232,74.325984,8.384431,23.6302,86.435538,40,73.111699,1.6,17.935596,40,68.440795,1.243272
434913.4987,1.589524,38.491988,-7.18942,40.91704,66.237468,73.80621,8.375094,23.725775,86.440159,40,74.84476,1.6,39.243118,40,68.884025,1.267236
434915.6733,1.58356,39.721609,-7.887128,40.489757,66.318063,74.549735,8.369492,23.676018,86.430331,40,74.664327,1.6,29.476119,40,68.188281,1.379066
434921.722,1.5584,39.661189,-8.280549,39.435383,66.730222,74.529637,8.31683,23.678359,86.431149,40,73.168051,1.6,0.983611,40,68.580824,1.486595
434924.971,1.571043,38.872574,-7.287775,41.267474,66.134251,73.990584,8.43532,23.643503,86.428741,40,75.006009,1.6,1.115806,40,67.593528,2.435614
434927.896,1.602083,40.709067,-7.890201,39.942589,66.439235,74.117984,8.396105,23.625275,86.42318,40,73.943919,1.6,2.503185,40,68.199254,3.149913
434944.0223,1.56428,38.84853,-7.361542,38.571595,66.767173,74.540019,8.409129,23.707673,86.43313,40,74.372164,1.6,8.918376,40,69.017697,1.834681
