Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
437564.6945,1.562096,49.377421,-8.787694,38.759108,68.542384,74.268553,8.962623,23.727999,86.468249,50,86.476381,1.6,0.867161,40,69.472057,3.49677
437571.6557,1.604142,50.103527,-7.545958,40.511275,67.332454,73.879401,8.824549,23.743639,86.465339,50,85.730506,1.6,11.408953,40,68.821203,3.384018
437572.3887,1.633124,50.083044,-7.456823,39.939515,67.76497,73.854699,8.743516,23.805213,86.46479,50,85.722405,1.6,16.535699,40,68.943448,3.099528
437583.3997,1.58818,50.182532,-6.77141,40.609642,68.089654,74.727869,8.917154,23.871096,86.463414,50,86.053688,1.6,0.589837,40,68.695758,3.406446
437587.971,1.604856,50.133296,-7.985483,38.965064,68.415863,74.15077,8.860396,23.872943,86.465739,50,85.687057,1.6,4.737809,40,69.305158,4.004306
437595.181,1.592633,50.035456,-5.947684,41.00926,68.325163,74.536696,8.915329,23.829841,86.479779,50,86.221646,1.6,27.437552,40,68.463458,3.696466
437596.1301,1.604058,50.038443,-8.086912,39.327794,67.698332,74.784477,8.917239,23.809152,86.472406,50,86.205493,1.6,26.744607,40,68.902072,2.291525
437599.2252,1.594691,50.241347,-8.843018,38.341047,67.751356,74.624407,8.916866,23.901263,86.474991,50,85.847246,1.6,17.377336,40,69.64266,2.58554
437599.7928,1.551343,50.303591,-6.620803,40.652678,67.490889,74.516692,8.978476,23.817156,86.479984,50,85.756075,1.6,11.578394,40,68.634071,2.994764
437607.0252,1.581922,50.136607,-9.107348,40.286875,68.12788,74.569005,8.887783,23.837844,86.480105,50,86.049413,1.6,1.241675,40,68.571713,2.880476
437614.1532,1.603722,49.605163,-8.434229,38.922028,68.582469,74.106691,8.941638,23.780333,86.467087,50,86.693258,1.6,17.276186,40,69.267647,3.327489
437626.6689,1.59049,49.231376,-8.686265,41.531836,67.608833,74.735029,8.910603,23.935001,86.474396,50,86.53578,1.6,1.669146,40,68.328525,3.139467
437632.319,1.597505,50.342365,-7.880981,38.251901,67.499916,74.840682,8.893427,23.840798,86.478645,50,85.65883,1.6,15.202778,40,69.391267,3.709984
437634.9022,1.600991,49.546613,-9.147305,38.4056,67.849197,74.344538,8.849738,23.9664,86.476506,50,86.143499,1.6,3.185304,40,69.33595,1.691514
437646.9386,1.609434,49.836526,-6.3534,41.141441,67.718753,74.049857,8.823685,23.970832,86.478068,50,86.10381,1.6,22.467723,40,68.178099,4.168672
437659.1351,1.585072,49.486856,-6.307296,38.454784,68.037708,74.806672,8.88007,23.875278,86.467617,50,86.038757,1.6,1.443938,40,69.613731,3.439933
437659.5,1.577217,49.497362,-6.500933,38.503967,67.986085,74.97453,8.838248,23.841907,86.467617,50,86.097018,1.6,0.068925,40,69.398736,2.252507
437671.3525,1.574991,50.118669,-6.854397,38.971212,67.768587,74.864266,8.906955,23.861609,86.470844,50,85.771671,1.6,1.480627,40,69.634145,2.867572
437674.917,1.604898,49.806125,-7.899422,40.926262,67.997156,74.113714,8.902144,23.819616,86.468324,50,86.08011,1.6,5.40544,40,68.148913,2.391066
437675.1747,1.616113,49.722471,-6.076776,38.623853,68.069592,74.199189,8.913303,23.819616,86.465339,50,86.170476,1.6,4.52993,40,68.847718,3.403681
437681.7221,1.621741,50.437791,-6.129027,38.568521,67.956779,74.690323,8.915586,23.876879,86.471467,50,85.781911,1.6,29.793446,40,69.482152,1.909644
437685.554,1.613592,50.36791,-6.811367,40.096288,67.932024,74.754807,8.939111,23.877125,86.472015,50,85.198917,1.6,41.64238,40,69.685656,2.960969
437693.7286,1.571967,50.093624,-7.7273,39.29398,67.93815,74.740487,8.878993,23.732671,86.472452,50,86.424206,1.6,1.736831,40,69.483649,3.003059
437694.559,1.556846,50.36429,-8.280549,41.184476,68.034877,74.469838,8.920153,23.79314,86.478905,50,86.152819,1.6,0.295562,40,68.49863,2.688767
437697.6913,1.575495,50.312553,-7.662755,39.555268,67.629972,74.716771,8.830249,23.751144,86.48109,50,85.741983,1.6,1.32117,40,69.242303,2.869109
437703.523,1.601705,49.685536,-7.395351,39.044988,67.834901,74.430502,8.91912,23.751514,86.474358,50,86.36603,1.6,2.667683,40,69.467351,3.753918
437703.91,1.613424,49.681372,-7.711932,40.990816,68.059238,74.191312,8.776563,23.709024,86.472285,50,86.4098,1.6,3.569913,40,68.586772,2.610118
437712.8161,1.576839,50.012898,-7.49678,40.597347,68.378854,74.30068,8.925928,23.680943,86.471002,50,85.901753,1.6,29.243577,40,68.563107,1.728074
437718.0901,1.553527,49.935321,-8.44345,41.402729,67.594214,74.390048,8.904974,23.715183,86.47632,50,86.290861,1.6,3.481738,40,68.185437,2.700749
437718.4461,1.573689,49.991856,-8.148384,38.805217,67.890108,74.480755,8.872861,23.715183,86.479649,50,86.260432,1.6,1.953841,40,69.441316,3.611058
437728.474,1.614517,49.781933,-8.394272,39.967181,67.479493,74.800405,8.802416,23.727375,86.477046,50,85.790344,1.6,13.864585,40,68.714516,2.797525
