Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1038783.106,1.566548,45.56922,-6.759115,26.432455,62.48971,69.054602,8.772151,22.133103,84.959791,45,78.708463,1.6,41.295193,25,46.79809,2.324705
1038801.519,1.581334,45.173375,-7.220156,25.448782,62.583224,69.409763,8.669761,22.051605,84.965287,45,79.094602,1.6,14.634392,25,48.465887,3.570197
1038809.587,1.579948,44.212536,-6.399504,25.952915,62.801055,69.256613,8.814347,22.173863,84.956156,45,79.815218,1.6,3.120659,25,47.057316,1.316085
1038813.771,1.62674,45.55299,-5.591146,25.731588,62.761847,69.18992,8.794626,21.969456,84.965203,45,79.135284,1.6,11.692705,25,47.500385,1.376608
1038821.752,1.600823,44.179737,-6.697643,25.50104,62.6749,69.115778,8.725403,22.045469,84.961075,45,79.338738,1.6,45.565777,25,47.288913,1.832223
1038833.917,1.577805,45.379428,-6.224309,26.091244,62.77206,69.188773,8.857524,22.123604,84.957597,45,78.623759,1.6,0.974411,25,46.964668,2.545908
1038844.346,1.597169,45.400043,-8.627866,25.992876,62.652298,69.332758,8.839366,22.058327,84.952502,45,78.727697,1.6,23.805954,25,46.935035,1.802115
1038854.263,1.578057,45.025255,-7.997778,26.198833,62.881476,69.039055,8.875378,22.03227,84.96047,45,79.617609,1.6,1.719035,25,46.842104,2.85682
1038854.745,1.582636,45.124036,-7.745742,24.142342,62.624124,69.305537,8.831012,22.030574,84.959764,45,79.525389,1.6,1.933028,25,47.856222,1.922855
1038858.335,1.60515,45.29851,-8.185267,25.891435,62.642189,69.386338,8.760878,22.098504,84.959382,45,79.13844,1.6,4.208776,25,46.948244,2.136376
1038864.419,1.603806,45.122358,-6.205867,25.212086,62.506804,69.421868,8.806366,22.11796,84.948782,45,78.850603,1.6,27.233695,25,47.14355,3.775116
1038870.657,1.598219,45.167283,-7.99163,23.917941,62.852228,68.975584,8.824594,22.14528,84.959457,45,79.547477,1.6,43.997325,25,46.99965,1.973854
1038872.791,1.547017,45.525326,-8.766178,25.743884,63.229599,69.150376,8.766853,22.023174,84.961577,45,79.007944,1.6,29.376602,25,48.404723,3.239008
1038888.859,1.617079,45.272465,-6.350326,23.466066,62.309995,69.097222,8.886137,21.988019,84.966105,45,78.788447,1.6,19.080612,25,47.138738,2.867572
1038889.301,1.616491,45.276997,-7.149463,26.05743,62.411303,68.991272,8.724821,22.059652,84.967044,45,78.743106,1.6,22.156761,25,47.310163,2.133918
1038894.87,1.60431,44.313348,-7.355394,26.260313,62.682117,69.143213,8.800999,22.069643,84.965119,45,79.495634,1.6,3.779404,25,47.847117,2.839615
1038927.579,1.537608,45.251408,-7.149463,24.213043,62.734243,69.249302,8.762329,22.082655,84.960294,45,79.463916,1.6,10.404409,25,46.842249,2.878018
1038936.113,1.641063,44.632338,-8.504922,25.839178,62.745427,69.135761,8.907352,22.039886,84.967081,45,79.01365,1.6,36.698513,25,47.091671,2.516414
1038946.003,1.573563,45.138486,-7.622798,24.62803,62.823635,68.931525,8.731334,22.055119,84.959754,45,79.094598,1.6,0.539109,25,47.618137,2.376934
1038956.441,1.600445,44.619153,-7.887128,26.183463,62.551864,69.382396,8.684586,22.049198,84.962339,45,79.605695,1.6,15.386857,25,47.131195,2.213797
1038957.933,1.619893,44.893674,-7.404572,23.745798,62.567354,68.984537,8.657699,22.068655,84.9618,45,79.496947,1.6,16.913489,25,46.925454,1.658334
1038964.43,1.589566,44.89775,-7.628945,23.84724,63.110679,69.07315,8.800114,22.056815,84.964757,45,78.842609,1.6,41.123183,25,47.421669,1.286284
1038978.766,1.615987,45.069179,-8.461892,26.752149,62.833742,68.879014,8.754349,22.060731,84.964273,45,78.884851,1.6,5.193196,25,46.376037,2.195978
1038988.962,1.594439,45.670356,-8.046955,23.300072,62.565919,69.088552,8.738291,22.115493,84.967593,45,78.296031,1.6,68.397369,25,48.289714,1.38859
1038992.891,1.524083,44.470871,-6.258118,25.642443,62.561784,69.39006,8.751057,22.037789,84.957495,45,78.936466,1.6,16.761244,25,48.21614,1.484751
1038993.303,1.552897,44.085179,-8.600204,23.696615,62.406197,69.534756,8.659192,21.969176,84.959559,45,79.329496,1.6,11.731646,25,48.148459,2.76373
1039001.274,1.555795,45.684232,-7.287775,26.161945,62.620748,69.417997,8.731943,21.981018,84.957551,45,78.993487,1.6,0.553383,25,46.884296,2.79476
1039016.291,1.647741,44.569122,-6.27656,26.472417,62.55999,69.349516,8.824552,22.030296,84.966272,45,78.969177,1.6,36.492851,25,46.912762,3.531794
1039031.25,1.511566,44.494459,-7.051108,24.858579,63.029886,69.052448,8.806116,22.10097,84.970475,45,79.105399,1.6,0.038132,25,47.107743,1.442969
1039056.201,1.565918,44.71686,-7.048034,23.247814,62.823616,69.136907,8.73269,0,0,45,78.813466,1.6,43.772863,25,48.128103,2.295212
1039060.246,1.559198,44.256504,-8.729295,25.331971,62.599626,68.694614,8.779604,0,0,45,80.422504,1.6,2.179353,25,47.498806,3.261743
1039076.605,1.607712,44.183504,-7.687344,26.825925,62.159021,69.176951,8.752786,0,0,45,79.442359,1.6,27.993002,25,46.613485,2.857434
1039092.826,1.596791,45.463876,-8.154531,23.542916,63.089667,68.71496,8.729191,22.083397,84.96604,45,78.607037,1.6,2.696952,25,48.274448,3.331483
1039097.059,1.603218,44.340159,-6.255045,26.367902,62.707552,68.735377,8.707974,22.111211,84.963148,45,79.782298,1.6,5.646509,25,47.755154,3.371115
1039105.257,1.630436,45.324556,-9.393193,23.727355,62.548384,68.730649,8.686689,22.04476,84.960954,45,78.599509,1.6,51.135263,25,48.004963,2.235303
1039119.273,1.549621,45.543087,-6.808293,25.869917,62.339864,69.729446,8.7389,21.997025,84.964097,45,78.431774,1.6,0,25,47.095344,1.630683
1039119.643,1.549999,45.546044,-7.106433,25.909879,62.197353,69.626228,8.682581,22.09345,84.96763,45,78.362357,1.6,0.181995,25,47.080244,4.085106
1039121.336,1.566716,44.794054,-6.245824,26.555414,62.078877,69.215776,8.701626,22.10677,84.970057,45,78.89146,1.6,0.984823,25,46.805035,3.953921
1039131.531,1.635266,45.50137,-8.114574,25.147532,63.224898,69.265778,8.81783,21.924711,84.969062,45,78.604418,1.6,15.231727,25,47.479806,3.175412
1039138.399,1.575789,44.620801,-6.577773,24.059344,62.898342,68.893843,8.687131,22.077756,84.973525,45,79.776818,1.6,14.969793,25,47.045337,1.634063
1039150.243,1.63094,45.430253,-7.03574,24.465109,62.908574,69.198871,8.647104,22.077756,84.973525,45,78.575837,1.6,27.676489,25,47.726567,2.274013
1039170.492,1.582426,44.041961,-7.841024,24.634178,63.21342,69.287339,8.76735,0,0,45,79.57867,1.6,1.441764,25,47.423753,3.501378
1039182.443,1.60809,44.240524,-7.804141,24.170007,63.034066,69.196364,8.720907,22.065518,84.97372,45,80.063059,1.6,35.944193,25,47.367251,3.659599
1039186.732,1.578729,45.928264,-6.095217,24.369816,62.405103,69.247582,8.73269,22.10881,84.970782,45,78.489372,1.6,35.440896,25,47.926912,3.710599
1039192.825,1.56575,44.165934,-6.912796,26.060504,62.23946,69.034754,8.703936,22.096077,84.971321,45,80.098798,1.6,1.479823,25,47.010535,1.701038
1039194.81,1.557518,44.792774,-8.295917,25.722366,62.764952,69.166277,8.700368,22.0106,84.968969,45,79.956177,1.6,1.071744,25,48.195819,4.077426
1039211.214,1.609602,45.292595,-6.768336,25.660887,63.178034,69.551017,8.718804,21.963821,84.970475,45,79.241332,1.6,25.889722,25,46.935371,3.393235
1039217.429,1.570917,45.22707,-8.615572,25.630147,63.029699,69.343571,8.721791,22.007334,84.976872,45,78.580395,1.6,7.645039,25,47.225843,2.426397
1039219.429,1.602924,44.237037,-5.929243,24.053196,63.104124,69.152953,8.583176,22.010447,84.975961,45,79.438008,1.6,0,25,47.053143,3.372344
1039233.503,1.614012,44.319749,-6.795999,25.45493,62.635566,69.333042,8.614988,22.097404,84.975059,45,79.693562,1.6,60.426691,25,47.162926,3.640551
1039251.766,1.556468,44.606498,-7.874833,24.348298,62.449827,69.125661,8.627105,22.088217,84.971442,45,79.437594,1.6,0.949136,25,47.803565,3.545004
1039262.644,1.596455,44.94706,-6.746821,26.2972,62.534204,69.106751,8.7298,22.078444,84.973209,45,79.407934,1.6,1.123059,25,46.7552,2.584004
1039292.596,1.639173,45.017117,-6.906648,23.616691,62.662644,69.138341,8.583647,0,0,45,79.827098,1.6,26.154398,25,47.567206,2.140985
1039294.973,1.588642,45.446116,-8.452671,24.495849,62.655578,68.927014,8.74399,0,0,45,79.341572,1.6,25.09662,25,47.905341,3.488782
1039295.463,1.591079,45.456902,-6.599288,24.892392,62.309475,68.865405,8.541584,22.052759,84.973888,45,79.257518,1.6,25.244603,25,47.711815,3.389548
1039297.306,1.579864,45.866741,-7.121801,23.419957,62.46758,68.927301,8.784694,22.069257,84.977588,45,78.49019,1.6,23.163534,25,47.621808,0.373517
1039304.535,1.622245,44.731089,-7.908643,23.859536,62.267073,68.834242,8.663329,22.160649,84.977254,45,79.84578,1.6,12.981594,25,48.026883,2.572329
1039305.236,1.637324,45.182307,-5.898507,23.8165,62.614976,69.140061,8.771555,22.051649,84.984172,45,79.481495,1.6,17.712999,25,48.054308,3.883259
1039307.151,1.606326,45.598886,-7.18942,24.916984,63.319577,69.140061,8.632264,22.000278,84.981466,45,78.842466,1.6,27.179212,25,47.425784,2.480161
