Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1209470.163,1.605234,38.870529,-7.152537,38.414822,66.775173,74.785324,9.244715,20.782315,85.944623,40,74.160003,1.6,1.981468,40,70.619048,1.838368
1209471.98,1.581502,39.272819,-7.65046,39.330868,66.90769,74.526131,9.201998,20.749169,85.950184,40,74.425102,1.6,0,40,69.585239,1.098262
1209490.167,1.612878,38.8568,-6.875912,39.801186,66.231456,74.358488,9.173008,20.774341,85.951579,40,74.462043,1.6,3.452854,40,69.996032,2.551438
1209490.581,1.584358,39.249231,-6.341105,40.286875,66.882239,74.275583,9.226991,20.706919,85.95792,40,74.278726,1.6,1.133552,40,69.753535,1.974776
1209496.381,1.615021,39.79561,-6.7376,39.656709,66.730158,75.031528,9.099454,20.705067,85.946158,40,73.18548,1.6,4.01455,40,70.144115,2.027926
1209500.455,1.622791,39.951352,-8.437303,39.321646,66.450281,74.57779,9.17136,20.808402,85.953197,40,73.862416,1.6,18.43073,40,70.213305,2.509655
1209520.821,1.638165,40.104623,-6.479418,39.352385,67.418198,74.890378,9.318373,20.785612,85.954275,40,74.09936,1.6,9.379995,40,70.141614,2.9963
1209529.194,1.536936,39.082776,-7.748816,39.982551,66.633968,74.665456,9.232196,20.792261,85.947106,40,74.392199,1.6,3.321268,40,69.815668,2.713653
1209537.081,1.6062,40.017555,-8.265181,41.003112,66.420598,75.18962,9.301332,20.838935,85.948082,40,72.845928,1.6,11.132081,40,69.353144,2.240833
1209543.48,1.595615,41.060885,-7.250892,38.473228,67.27767,74.945672,9.258397,20.708717,85.95249,40,73.032153,1.6,30.305275,40,70.367941,2.44268
1209565.723,1.610652,40.492051,-6.928164,39.063431,67.168808,75.061869,9.412345,20.735901,85.949552,40,72.790317,1.6,26.100713,40,70.02767,2.540992
1209567.805,1.58881,39.992157,-9.058171,40.538941,67.010721,75.133827,9.240237,20.801116,85.949877,40,73.019926,1.6,23.532987,40,69.538028,0.794723
1209569.734,1.598555,38.948032,-8.28977,38.1812,66.803819,74.880212,9.23613,20.832779,85.951467,40,74.191643,1.6,18.840632,40,70.747069,2.513649
1209570.133,1.605696,38.942793,-7.970115,40.535867,67.139785,74.672724,9.194688,20.666254,85.950547,40,74.34052,1.6,19.034962,40,70.056811,2.57448
1209572.431,1.567893,39.827791,-7.41994,39.26324,67.223918,74.968486,9.230157,20.724417,85.94692,40,74.136952,1.6,1.448469,40,70.434885,2.709966
1209579.87,1.585786,39.343774,-8.388125,39.988699,66.788122,74.762995,9.297867,20.665319,85.951514,40,73.652624,1.6,1.011067,40,69.73077,1.642358
1209582.014,1.59028,39.831249,-7.598209,40.658826,66.520144,75.322037,9.131284,20.785717,85.954303,40,73.643833,1.6,2.949068,40,69.116248,2.585847
1209588.011,1.582762,39.122345,-7.801067,39.899553,66.736088,74.472353,9.179295,20.767001,85.955967,40,74.240209,1.6,22.11682,40,69.796136,1.98645
1209588.399,1.583224,39.131232,-7.131021,39.665931,66.55935,74.502068,9.242986,20.664755,85.950454,40,74.349719,1.6,20.354804,40,69.472938,1.57016
1209602.545,1.594187,41.067786,-7.708859,39.801186,66.900924,75.421822,9.284495,20.797537,85.94944,40,72.729686,1.6,3.302705,40,69.787865,2.336994
1209606.603,1.641567,39.269906,-7.644313,38.955842,66.559993,74.832763,9.135968,20.736043,85.95169,40,73.960429,1.6,18.700491,40,70.240097,2.614726
1209616.585,1.557812,38.973253,-7.902496,39.020396,66.881644,74.663843,9.22184,20.716022,85.959454,40,74.235148,1.6,7.609538,40,70.075707,1.976312
1209626.703,1.598303,38.816878,-8.206783,38.765256,66.486168,74.510619,9.24655,20.71731,85.956553,40,74.006971,1.6,1.82028,40,69.986357,1.933915
1209633.074,1.58419,40.634977,-6.334958,40.63116,67.18507,74.842898,9.191888,20.763617,85.956553,40,72.734725,1.6,42.35905,40,69.106044,1.189201
1209653.163,1.591163,41.035325,-7.754963,39.669005,66.465668,75.020728,9.22914,20.733578,85.950565,40,72.914279,1.6,20.199771,40,69.117352,1.651882
1209669.676,1.577595,38.871132,-6.399504,40.068622,66.869315,74.913838,9.131015,20.788581,85.948612,40,74.549278,1.6,2.042557,40,69.528391,3.855302
1209670.025,1.598303,38.868218,-6.135174,39.131059,66.782597,74.954499,9.17828,20.73208,85.950119,40,74.687548,1.6,3.514678,40,69.974622,2.040829
1209680.137,1.595573,39.60024,-7.315438,40.640382,67.40184,74.758937,9.238985,20.775793,85.948426,40,74.314595,1.6,24.782706,40,69.151528,2.865422
1209681.979,1.607838,40.303848,-7.671976,40.542015,67.456372,75.233492,9.263626,20.804316,85.951504,40,73.857637,1.6,25.473917,40,69.805479,3.060203
1209684.067,1.581292,40.887014,-5.809372,39.472271,67.143647,75.433199,9.140792,20.817458,85.954805,40,72.78953,1.6,20.144244,40,69.589513,2.148972
1209689.977,1.549873,39.299321,-8.271328,40.219247,66.75479,74.88158,9.236289,20.693907,85.951476,40,74.57667,1.6,0,40,69.397354,1.532371
1209692.792,1.61292,41.014872,-7.973189,39.051136,67.488905,74.909711,9.157511,20.757996,85.948045,40,73.008644,1.6,2.995769,40,69.926831,1.722237
1209695.622,1.635308,40.126165,-6.633098,38.617705,67.181557,75.013738,9.112859,20.679652,85.948752,40,72.975223,1.6,7.121471,40,69.927114,2.02301
1209699.082,1.614769,39.225187,-8.335874,41.356619,66.883577,74.815614,9.226209,20.724462,85.951727,40,74.258068,1.6,26.618452,40,68.791196,2.530854
1209706.271,1.561592,39.298879,-6.313443,39.475344,67.117276,75.012155,9.144221,20.825592,85.951467,40,73.699896,1.6,19.790825,40,69.745205,1.296422
1209708.998,1.579822,39.476194,-7.014225,39.220204,67.196892,74.940913,9.081413,20.732242,85.948389,40,74.245722,1.6,3.788557,40,70.02367,2.189833
1209710.532,1.55714,40.003487,-6.488638,39.177169,67.585929,74.755206,9.180507,20.824481,85.948789,40,73.879129,1.6,1.594646,40,69.982315,2.250971
1209711.019,1.563986,40.017658,-7.312364,40.883226,67.461246,74.740019,9.221646,20.836882,85.951049,40,73.867702,1.6,1.514421,40,69.956714,2.6519
1209714.333,1.586626,40.024824,-7.226303,38.872845,66.84975,75.672003,9.166833,20.79206,85.953931,40,72.726797,1.6,1.495495,40,70.068753,2.795989
1209716.576,1.568985,38.821381,-7.087991,39.195612,65.729299,75.178173,9.281977,20.746867,85.95183,40,73.739872,1.6,0,40,69.930421,2.667262
1209718.807,1.590868,39.045989,-5.904654,41.227512,66.391557,74.535507,9.183564,20.684437,85.951467,40,74.543555,1.6,1.759552,40,68.887965,3.096148
1209720.737,1.580116,39.574842,-8.492628,40.898596,66.618689,74.665934,9.060726,20.875583,85.950286,40,74.517019,1.6,0.346326,40,69.022417,2.740381
1209730.549,1.553989,40.381616,-7.708859,40.474387,67.344372,75.053289,9.25442,20.768337,85.951132,40,73.757284,1.6,30.161906,40,69.092983,2.364952
1209734.314,1.555585,40.656652,-7.072623,39.035766,66.399872,75.486975,9.190274,20.760365,85.953829,40,72.552641,1.6,1.987068,40,69.964587,1.548961
1209740.991,1.565414,40.797047,-7.951674,38.430192,66.823593,75.331811,9.285851,20.749252,85.953606,40,73.133376,1.6,0.91635,40,70.289987,1.60672
1209743.144,1.596875,41.067315,-8.544879,38.780625,66.755223,75.52841,9.150173,20.842037,85.953029,40,72.183847,1.6,1.764967,40,70.190043,1.912409
1209744.976,1.587382,39.324203,-6.38721,39.967181,66.657251,75.160596,9.323629,20.680154,85.949087,40,73.498527,1.6,2.417102,40,69.616233,3.649154
1209747.153,1.613718,38.959907,-5.833961,40.578903,67.394749,74.547794,9.10223,20.767952,85.947432,40,74.568982,1.6,13.100578,40,69.35124,3.229791
1209748.942,1.634258,40.035595,-7.349247,38.138164,67.102946,74.82596,9.12217,20.747207,85.953606,40,74.23074,1.6,25.437128,40,69.870259,2.216869
1209749.336,1.643037,40.028664,-6.421019,40.468239,67.105812,74.890757,9.245974,20.72535,85.954043,40,74.23139,1.6,29.723612,40,69.436871,1.5081
1209750.305,1.596413,40.605312,-7.71808,40.050178,67.127885,75.07605,9.127024,20.703863,85.949784,40,73.615488,1.6,32.04284,40,69.637215,2.011028
1209753.453,1.591163,40.106021,-8.123795,41.793124,67.490843,75.534704,9.250081,20.815367,85.951867,40,72.826645,1.6,33.544833,40,68.735369,1.580606
1209759.275,1.536138,40.256348,-7.364615,38.774477,67.743356,75.198901,9.25217,20.860366,85.954191,40,73.540312,1.6,1.418903,40,70.229438,2.033456
1209762.124,1.577301,40.572424,-8.154531,39.389273,67.080587,75.598578,9.294429,20.764973,85.955698,40,72.497739,1.6,1.962181,40,69.87143,2.773562
1209765.389,1.608384,38.713138,-6.04604,39.112615,67.081662,75.069664,9.151808,20.702367,85.94719,40,74.498667,1.6,2.30233,40,69.8422,2.260188
1209768.654,1.586248,41.007411,-5.661839,39.647487,66.871899,75.1026,9.238276,20.724787,85.95275,40,73.20486,1.6,1.803971,40,70.230647,3.529336
1209769.49,1.61166,41.013326,-7.358468,39.776594,66.486314,74.962057,9.203927,20.783865,85.948287,40,72.931284,1.6,2.896879,40,70.060409,2.87003
1209772.436,1.604856,40.279892,-8.437303,40.72338,67.087969,75.132164,9.308393,20.777183,85.950472,40,72.679559,1.6,10.576021,40,69.204907,2.687538
1209777.489,1.605906,39.949822,-7.536737,38.258049,67.537851,75.253733,9.229236,20.845356,85.951885,40,73.954132,1.6,33.047501,40,70.179335,1.891825
1209779.552,1.585408,40.906246,-6.273486,38.479376,67.21947,75.762033,9.20295,20.751074,85.956284,40,72.746668,1.6,25.639207,40,70.028076,1.977541
1209780.029,1.600067,40.908556,-8.394272,39.59523,67.432084,75.941806,9.150457,20.874426,85.949961,40,72.587326,1.6,25.982931,40,70.152978,1.823314
1209795.953,1.622497,39.828439,-8.114574,38.362564,66.410201,74.784455,9.254322,20.864603,85.948343,40,74.136972,1.6,23.625906,40,70.40118,2.170785
1209799.656,1.615441,41.11277,-7.281628,38.845179,67.628643,75.228223,9.32899,20.851831,85.954694,40,72.574844,1.6,34.820874,40,70.237184,3.144997
1209808.079,1.556762,40.603355,-5.910801,38.897437,67.255162,75.140514,9.229006,20.829043,85.948984,40,73.922689,1.6,0.61138,40,69.894727,2.972951
1209808.549,1.568229,40.611242,-7.973189,38.746812,66.894626,74.964379,9.20033,20.866455,85.953429,40,73.823363,1.6,1.185093,40,70.067204,2.843916
1209812.234,1.567388,41.170334,-7.352321,39.509158,66.69474,75.344781,9.238936,20.927571,85.952304,40,71.970769,1.6,0.048013,40,69.745525,1.399343
1209816.149,1.579906,38.771468,-6.69457,40.840191,67.230371,74.859394,9.197717,20.873863,85.94984,40,74.240772,1.6,1.295847,40,68.695285,2.847603
1209818.159,1.619431,39.727318,-7.278554,38.387156,67.910888,75.290424,9.193682,20.856454,85.956107,40,74.096891,1.6,6.256828,40,69.707323,2.535462
1209822.353,1.576965,40.460238,-6.786778,39.137207,67.556777,75.478431,9.217728,20.874975,85.955475,40,72.92381,1.6,26.3743,40,69.950871,2.974794
1209828.902,1.53492,39.768549,-7.364615,39.948737,67.005349,75.262917,9.170384,20.909792,85.953299,40,74.451438,1.6,0,40,69.509209,3.135473
1209833.089,1.581754,41.032412,-8.489554,41.332027,67.65337,74.982812,9.222503,20.908311,85.949486,40,72.622765,1.6,1.367349,40,68.647107,0.708393
1209838.912,1.630982,38.584809,-8.006998,38.885141,66.488474,74.680453,9.22183,20.927379,85.954219,40,74.432146,1.6,7.865455,40,70.11394,2.63869
1209839.437,1.618633,38.565709,-6.433314,41.390433,67.389172,74.751545,9.299413,20.825517,85.956209,40,74.711648,1.6,9.283505,40,69.793204,1.218387
1209844.883,1.625815,41.060502,-5.972273,41.467282,66.906741,75.149998,9.210406,20.826821,85.953875,40,72.471829,1.6,45.395209,40,68.995569,2.036528
1209847.093,1.591205,39.679068,-6.894354,38.642296,67.293649,75.068642,9.234674,20.796816,85.953066,40,73.094945,1.6,43.623668,40,70.391413,1.590437
1209855.603,1.551637,40.433618,-8.089986,38.97736,66.76269,75.188512,9.236614,20.934224,85.952741,40,72.670747,1.6,1.268263,40,70.166044,1.774772
1209858.562,1.555921,38.691198,-6.039892,41.162958,66.006518,74.949011,9.259388,20.863477,85.95103,40,74.232293,1.6,0.825159,40,69.099546,3.716743
1209860.817,1.566926,39.357974,-7.180199,40.621938,67.32332,74.977352,9.222126,20.900326,85.955205,40,74.508637,1.6,0.21941,40,69.416545,1.986758
1209865.159,1.590868,40.759009,-7.361542,39.945663,67.211388,75.423835,9.215183,20.863655,85.956079,40,72.690021,1.6,3.459839,40,69.214584,2.64637
1209865.972,1.621489,40.768632,-7.653534,39.097245,66.5193,75.639649,9.181207,20.7892,85.952908,40,72.469821,1.6,6.510393,40,70.182868,2.514878
1209867.617,1.589608,39.55483,-6.952752,40.323762,66.656118,74.881408,9.192855,20.900326,85.949431,40,73.169244,1.6,6.805392,40,69.570217,1.273995
1209869.272,1.623337,38.70244,-8.145311,38.786773,66.494932,74.649842,9.206072,20.889214,85.949059,40,74.329429,1.6,12.749783,40,70.366323,3.047607
1209871.28,1.595531,39.923527,-6.77141,40.314541,67.496517,74.681794,9.112731,20.864767,85.952583,40,74.032097,1.6,16.638143,40,69.491422,1.873391
1209875.303,1.594565,40.452498,-7.07877,39.899553,66.888908,75.338065,9.22698,20.882546,85.960607,40,72.691229,1.6,31.419358,40,69.380635,2.16587
1209883.259,1.541094,40.761628,-8.489554,41.033851,67.022414,75.429116,9.215256,20.789379,85.953922,40,72.939089,1.6,2.113932,40,69.634461,1.023299
1209892.245,1.588768,40.556326,-8.578689,41.854604,66.466696,74.596142,9.21996,20.870487,85.950686,40,73.692776,1.6,1.557338,40,68.724599,1.079828
1209900.882,1.615693,38.885185,-7.352321,39.383125,67.116227,74.958706,9.154995,20.880296,85.956023,40,74.846134,1.6,9.156931,40,70.066859,2.239604
1209901.981,1.607376,39.799833,-5.769415,39.140281,67.508065,75.028307,9.173737,20.758618,85.957009,40,74.313999,1.6,8.493565,40,70.385088,2.718261
1209903.977,1.621111,41.023406,-7.499854,40.339132,67.349342,75.039256,9.213014,20.862146,85.954433,40,73.010956,1.6,12.795864,40,69.662902,1.886909
1209914.377,1.588642,41.245469,-8.40964,41.083035,66.425633,75.116643,9.159997,20.813429,85.956563,40,72.709311,1.6,0.843136,40,69.13948,1.827308
1209916.843,1.587046,40.176976,-7.201714,39.349311,66.729446,75.493197,9.144913,20.752307,85.954005,40,72.641461,1.6,0.981248,40,69.896069,2.508426
1209920.253,1.636064,38.565047,-6.439461,38.599261,67.351068,74.483998,9.269837,20.855465,85.951467,40,74.780677,1.6,21.706681,40,70.359883,2.642684
1209926.528,1.577721,40.406749,-6.39643,40.741823,66.726372,75.426939,9.209504,20.94768,85.954043,40,72.53213,1.6,31.896295,40,69.594187,2.680165
1209936.521,1.60452,40.863279,-8.40042,38.835957,66.793317,74.932692,9.111085,20.84545,85.957009,40,72.362143,1.6,1.816024,40,70.166407,1.954192
1209937.583,1.576545,40.866987,-9.497696,40.07477,67.255694,75.294689,9.117582,20.910641,85.951644,40,72.04565,1.6,0,40,69.64728,2.716725
1209943.929,1.611996,40.11972,-8.246739,38.811365,66.772457,74.962257,9.197109,20.823952,85.957585,40,74.012412,1.6,14.364296,40,69.906989,2.438993
1209945.192,1.589776,40.689525,-7.616651,40.305319,66.91766,74.876547,9.232054,20.843406,85.957502,40,73.394059,1.6,16.28551,40,69.568049,2.787387
1209947.792,1.597589,40.625103,-8.031587,40.61579,66.651694,75.023894,9.043952,20.873409,85.956516,40,72.734022,1.6,10.78491,40,69.42719,2.29982
1209948.673,1.597589,40.231877,-7.87176,38.97736,66.626468,75.149612,9.154321,20.857111,85.956107,40,72.860849,1.6,8.371749,40,70.241717,1.105021
