Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1036254.817,1.582636,25.312473,-7.137169,24.489701,57.437651,68.526252,9.283594,0,0,25,56.928052,1.6,0.937144,25,47.018485,0.989504
1036257.661,1.552225,25.353601,-8.501848,24.65877,57.56214,68.209125,9.255967,21.81766,84.868435,25,56.575918,1.6,0,25,46.862266,1.22914
1036261.589,1.596035,24.762901,-8.003925,25.055313,57.565823,68.646477,9.312894,21.942378,84.871708,25,56.831959,1.6,1.689825,25,46.354641,1.261706
1036272.89,1.58419,25.213603,-6.565478,24.000939,57.737307,68.441579,9.192579,21.736999,84.868752,25,56.861716,1.6,11.350996,25,47.525081,1.493354
1036283.075,1.599353,24.603038,-6.642319,23.779612,57.525196,68.331148,9.119206,21.855831,84.872871,25,57.284172,1.6,7.613596,25,47.488051,2.285073
1036285.067,1.578519,24.75625,-6.980415,24.757137,57.714568,68.421062,9.251278,21.843617,84.871615,25,57.362594,1.6,3.605353,25,46.741114,1.155406
1036301.293,1.587424,25.121076,-9.230292,25.181346,57.666126,68.706165,9.213653,21.861236,84.876255,25,56.529309,1.6,40.63915,25,46.635628,1.871855
1036311.691,1.583812,25.335634,-6.875912,25.387303,57.451134,68.248526,9.138041,21.867355,84.867896,25,56.742094,1.6,1.000459,25,46.311789,1.444812
1036323.785,1.649001,25.186278,-8.397346,24.849357,57.621908,68.40074,9.274773,21.840933,84.871718,25,56.766598,1.6,9.983765,25,46.731147,0.489341
1036342.23,1.533324,25.211735,-9.740511,24.557329,57.856119,68.405724,9.225395,21.804716,84.868928,25,56.831189,1.6,0,25,47.3617,0.591647
1036352.261,1.605318,24.553905,-8.640161,24.059344,57.582007,68.364856,9.189361,21.900768,84.868184,25,57.213622,1.6,2.049148,25,47.100468,1.392277
1036354.65,1.574613,24.869716,-6.405651,26.346384,57.440983,68.324115,9.197852,21.762947,84.866306,25,57.217498,1.6,0.275781,25,46.523289,1.573232
1036362.633,1.5865,25.135188,-5.959979,25.236678,57.724193,68.7133,9.215677,21.9382,84.87858,25,56.563534,1.6,42.278952,25,46.377657,2.205195
1036370.869,1.540422,25.157716,-6.113659,25.353489,57.52503,68.640846,9.174789,21.843288,84.871271,25,57.163824,1.6,0,25,46.219622,1.432523
1036378.972,1.600865,25.261736,-6.974268,24.105454,57.57653,68.598742,9.137166,21.897718,84.868222,25,56.349307,1.6,2.262778,25,46.990236,0.545871
1036389.072,1.619347,25.276583,-7.017298,25.556372,57.524853,68.37994,9.07668,21.819116,84.869923,25,56.73851,1.6,24.497542,25,46.144108,1.286898
1036391.197,1.596119,25.315122,-8.050029,25.16905,57.814971,68.295757,9.130532,21.910528,84.874777,25,56.515611,1.6,26.710882,25,46.372314,1.529913
1036395.209,1.579948,24.859813,-8.634013,24.618808,57.540943,68.948316,9.094966,21.80192,84.875539,25,56.697225,1.6,18.340149,25,46.491743,0.972914
1036413.582,1.623379,24.776174,-6.411798,25.365785,57.4588,68.871277,9.189611,21.876936,84.870602,25,56.990556,1.6,14.522545,25,46.580147,1.097955
1036436.066,1.596119,25.385679,-7.008077,25.113719,57.563072,68.219565,9.113994,21.841124,84.876153,25,56.790561,1.6,1.424039,25,46.560821,1.275531
1036450.254,1.590532,25.2615,-6.593141,23.589026,58.395565,68.513642,9.142365,21.86709,84.87991,25,56.845957,1.6,34.237042,25,47.047984,1.658948
1036458.484,1.594481,25.054035,-7.226303,24.11775,57.333694,68.504854,9.147867,21.888214,84.878933,25,56.627352,1.6,1.631745,25,47.03745,0.99442
1036472.796,1.624513,25.308044,-6.912796,24.873948,57.860937,68.362354,9.075712,21.9125,84.879649,25,56.442482,1.6,39.637762,25,46.724444,1.51148
1036480.941,1.568859,24.807825,-6.630024,25.78692,57.50476,68.376397,9.108754,21.852916,84.877855,25,57.25758,1.6,15.373924,25,46.606593,0.662616
1036481.342,1.562012,24.808738,-7.484486,23.758094,57.533174,68.508938,9.192388,21.86496,84.880235,25,57.283176,1.6,10.380489,25,47.299022,1.283826
1036504.349,1.627748,25.10979,-6.949679,23.813426,57.713834,68.317077,9.021941,21.873903,84.875855,25,56.628507,1.6,46.403642,25,47.40596,1.592895
1036513.559,1.571043,24.899043,-7.140242,24.938502,57.661806,68.352447,9.075427,21.905391,84.880867,25,57.404742,1.6,0,25,46.413546,1.272766
1036531.929,1.579149,25.186204,-6.073702,24.757137,57.504265,68.412777,8.988337,21.990568,84.879063,25,56.837859,1.6,25.667236,25,46.92276,1.948969
1036538.193,1.575831,24.857694,-7.776478,23.973273,57.78954,68.668806,9.043318,21.915848,84.878115,25,56.917602,1.6,0.498305,25,46.994096,0.982131
1036552.112,1.614012,25.190766,-5.597294,23.967125,57.375564,68.407027,8.930556,21.997092,84.883434,25,56.619939,1.6,53.833214,25,47.144781,1.541895
1036556.389,1.529543,24.703894,-8.458818,25.258196,57.478136,68.593657,9.03044,22.013406,84.881276,25,56.975437,1.6,27.540923,25,46.558347,0.597177
1036560.221,1.551175,24.784959,-6.107512,24.978464,57.604055,68.211076,9.001782,21.983601,84.877194,25,57.339026,1.6,1.266159,25,46.353361,1.671544
1036569.745,1.58482,24.682455,-8.086912,24.809395,57.202987,68.774626,8.951936,22.016769,84.877855,25,56.888195,1.6,0.814558,25,46.502547,1.956035
1036578.841,1.650178,25.210572,-7.336953,24.452813,57.448311,68.251803,8.92636,21.904673,84.884252,25,56.903293,1.6,35.810435,25,46.778248,0.638653
1036582.776,1.609434,25.098724,-6.208941,23.942533,57.997256,68.412459,9.046033,21.970376,84.882597,25,56.757903,1.6,50.020063,25,47.251106,0.616225
1036601.024,1.581208,25.236309,-7.555179,23.834944,57.445281,68.196696,8.974348,21.930644,84.883071,25,56.694695,1.6,1.924239,25,47.205186,1.311784
1036609.134,1.58104,24.559541,-8.169899,23.78576,57.472625,68.362541,9.109519,21.948642,84.883824,25,57.420364,1.6,10.174764,25,47.232,1.224839
1036613.292,1.608636,25.213206,-8.44345,24.385186,57.718618,68.318838,8.878299,21.998768,84.877762,25,57.080615,1.6,8.617935,25,47.010941,1.757875
1036621.315,1.603554,24.855369,-8.191415,24.428222,57.221929,68.544689,8.938325,21.991569,84.879259,25,56.585725,1.6,13.170765,25,47.102366,0.489034
1036637.815,1.542732,25.057596,-8.48648,25.796142,57.578896,68.627873,9.009933,22.05286,84.890193,25,56.501168,1.6,0.392672,25,46.837449,1.450342
