Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1041673.412,1.599479,25.240738,-8.901417,40.545089,63.093215,75.023931,8.933684,22.006368,85.032616,25,57.26733,1.6,7.209575,40,68.182214,1.331446
1041679.614,1.610862,25.156039,-7.392278,38.983508,62.928378,75.19749,8.957651,22.139946,85.032551,25,56.817699,1.6,24.410193,40,68.95652,1.210092
1041682.995,1.598303,24.68684,-7.284702,41.205994,63.024516,75.426391,9.058534,22.125145,85.029919,25,57.188848,1.6,24.702909,40,67.862544,1.405487
1041687.473,1.604352,24.727276,-8.686265,38.442488,63.029784,74.884171,8.916881,22.039979,85.034885,25,57.786715,1.6,26.930126,40,67.983576,1.516088
1041688.195,1.591247,24.909623,-6.46405,41.53491,63.199566,74.855314,8.981479,22.088144,85.030589,25,57.679769,1.6,25.857906,40,67.773783,1.062009
1041691.93,1.560962,25.269505,-6.811367,40.145472,63.166688,74.869634,8.91186,22.117159,85.033025,25,57.199711,1.6,9.944911,40,68.646586,1.602726
1041692.643,1.568313,25.261,-7.235524,40.867857,63.145053,75.014693,8.984977,22.069057,85.032439,25,57.141948,1.6,5.46898,40,69.127131,1.455872
1041696.099,1.568607,25.311649,-6.826735,41.043073,63.011428,75.065171,9.04129,22.107755,85.028748,25,56.783157,1.6,1.045966,40,68.978425,1.200875
1041699.977,1.598597,24.681792,-7.98241,38.590039,63.17171,75.262358,9.029037,22.131219,85.034401,25,57.094093,1.6,1.8277,40,68.967151,0.61346
1041700.361,1.578015,24.677731,-8.302064,40.566607,63.148333,75.415293,9.083688,22.116943,85.034401,25,57.138581,1.6,0.912013,40,68.178525,1.39965
1041713.779,1.588726,25.111997,-6.159763,41.365841,63.064159,75.325436,9.012166,22.224826,85.034094,25,56.992532,1.6,42.617945,40,69.344638,1.647888
1041716.005,1.549117,24.845334,-6.780631,39.665931,62.671935,75.344339,8.978394,22.041829,85.033155,25,57.187054,1.6,30.818064,40,68.604379,0.657086
1041719.837,1.534668,24.779764,-9.297912,41.421173,62.980577,74.803046,9.064273,22.101033,85.032095,25,57.646076,1.6,0.237421,40,67.700063,1.06416
1041721.299,1.580032,24.929341,-6.417946,41.122997,62.785845,74.947677,9.018651,22.05108,85.032309,25,57.623469,1.6,0.789667,40,68.909683,0.753248
1041722.129,1.571463,25.115808,-6.116732,41.494948,63.045209,74.69486,8.980634,22.144693,85.033704,25,57.488713,1.6,1.076935,40,68.721527,1.109629
1041726.463,1.587088,25.316196,-6.66076,38.347195,62.955948,74.887604,9.100421,22.045005,85.035387,25,56.990705,1.6,0.819204,40,69.144483,1.750808
1041736.302,1.610148,24.907798,-6.208941,41.199846,62.94943,74.740178,9.006467,22.120335,85.03494,25,57.688009,1.6,41.594743,40,67.725478,0.887198
1041744.723,1.571379,25.17973,-8.243666,40.483609,62.695982,74.885744,9.121468,21.953974,85.032356,25,56.849052,1.6,1.962076,40,67.960719,1.236821
1041763.019,1.584736,25.202817,-7.579768,41.086109,62.786265,74.906002,9.028428,21.964182,85.036447,25,57.010342,1.6,52.447657,40,69.140724,0.999335
