Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1042822.609,1.606158,29.771866,-8.145311,41.270548,63.364661,73.938098,8.877618,21.994494,85.069698,30,64.29968,1.6,29.131767,40,68.608657,1.267236
1042826.617,1.598093,30.20575,-6.270413,41.860752,63.53294,73.713627,8.976639,22.064955,85.069502,30,63.981352,1.6,32.671697,40,67.373867,1.187972
1042838.779,1.569069,29.873561,-6.829808,40.883226,63.498446,73.493379,8.920795,22.164796,85.069921,30,64.190282,1.6,1.72457,40,67.667129,1.318235
1042857.181,1.561004,29.935378,-6.885133,39.669005,63.831565,73.726228,8.929009,22.020181,85.070897,30,64.275878,1.6,22.067784,40,67.964899,1.375994
1042857.8,1.570581,30.47955,-7.195567,38.611557,63.470532,73.844945,8.938787,22.004054,85.069521,30,63.838184,1.6,17.979695,40,68.031267,1.690285
1042867.356,1.563944,30.428372,-8.40964,39.026544,63.570536,73.936811,8.898017,22.059929,85.069075,30,63.687653,1.6,1.10876,40,68.331633,1.837446
1042873.641,1.615693,29.128796,-7.444529,39.893406,63.546148,74.11703,8.980164,22.060515,85.064546,30,64.274081,1.6,0.713055,40,68.03987,1.101027
1042883.665,1.581208,30.026375,-8.262107,39.355459,63.704016,74.258512,8.986512,22.044449,85.069103,30,63.442991,1.6,52.486347,40,68.008456,1.5591
1042884.217,1.600067,30.025066,-8.78462,41.162958,63.60754,74.357679,8.959697,22.007446,85.063319,30,63.43837,1.6,50.856021,40,67.363032,2.165563
1042906.357,1.592549,29.315955,-8.471112,39.638265,63.887993,73.994305,8.973886,22.006089,85.07126,30,64.670127,1.6,4.443974,40,68.202712,1.970167
1042912.452,1.615105,30.425046,-6.427166,40.806377,63.634205,73.71334,8.947375,22.082162,85.07549,30,63.606965,1.6,20.541139,40,67.608212,1.22914
1042928.676,1.581628,30.497178,-6.534742,41.055369,63.44842,73.814441,8.916522,22.038561,85.072348,30,63.222151,1.6,1.719463,40,67.283697,2.012564
1042930.797,1.579275,30.322174,-7.847171,41.310509,63.676463,74.0281,8.976943,22.179905,85.073343,30,63.035366,1.6,0.545876,40,67.097874,1.850964
1042938.699,1.636022,30.163165,-6.107512,40.09014,64.012557,73.631642,9.001074,22.058019,85.072729,30,64.089109,1.6,31.862321,40,68.355941,2.042365
1042963.481,1.555921,29.761139,-6.491712,39.539898,63.582981,74.013922,8.97076,21.979913,85.070367,30,63.639545,1.6,0.111736,40,67.984823,1.560329
1042973.664,1.631654,30.45505,-7.484486,39.831926,64.04831,73.850958,9.055588,22.071375,85.068666,30,63.484923,1.6,29.510663,40,68.623589,2.019016
1042974.032,1.629932,30.452592,-6.076776,40.062474,63.834935,73.942966,8.997175,22.071375,85.068433,30,63.430604,1.6,32.022357,40,68.068409,0.419601
1042977.663,1.570455,29.649012,-8.246739,40.415982,63.932058,74.345505,8.9579,21.985373,85.071957,30,63.832327,1.6,34.1772,40,67.909208,1.265392
1042978.011,1.589902,29.644936,-8.781546,41.122997,63.807975,74.32288,8.867606,21.978496,85.071343,30,63.876947,1.6,35.302665,40,67.962051,0.869994
