Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1211849.801,1.617709,49.503248,-7.456823,39.407717,68.376896,74.682997,9.2911,21.108658,85.940318,50,85.870701,1.6,28.637709,40,70.355987,3.776652
1211850.841,1.612038,49.252624,-9.396267,40.751045,67.733975,74.921066,9.307627,21.191051,85.937613,50,86.293754,1.6,29.671959,40,70.007745,3.921048
1211856.94,1.574571,50.183503,-8.108427,38.534707,68.049827,74.732979,9.171081,21.165877,85.936208,50,86.104592,1.6,18.990241,40,70.013823,2.796603
1211861.103,1.563062,50.437129,-7.469118,39.841148,68.513149,74.982642,9.131641,21.259011,85.936785,50,85.452911,1.6,1.072982,40,70.74295,3.850079
1211861.513,1.549201,50.38492,-7.60743,40.034809,68.133689,75.096486,9.203326,21.223274,85.936478,50,85.433321,1.6,0,40,70.304967,3.817206
1211867.119,1.58062,49.533281,-7.315438,40.818673,68.581635,74.991454,9.163614,21.141995,85.941257,50,86.023896,1.6,2.654539,40,70.276201,3.360055
1211872.252,1.60641,50.203265,-6.334958,38.285715,68.682323,74.582977,9.15876,21.041444,85.941304,50,85.810128,1.6,12.600148,40,71.032861,3.245152
1211876.439,1.592633,50.157722,-7.014225,41.098405,67.398722,74.963613,9.196606,21.160699,85.933689,50,85.522278,1.6,12.707965,40,70.084883,1.999968
1211887.459,1.61292,50.388202,-7.029593,41.245956,67.394163,75.088059,9.215747,21.254204,85.933503,50,85.12415,1.6,2.720837,40,71.03812,2.54345
1211887.913,1.591667,50.386672,-6.734527,40.240765,67.552297,74.877776,9.213608,21.202915,85.938645,50,85.064538,1.6,2.750795,40,70.207296,2.790459
1211894.763,1.605948,49.356894,-7.859465,41.030777,68.519467,75.290466,9.167786,21.18681,85.937008,50,86.784468,1.6,26.418496,40,69.840324,2.403048
1211914.179,1.545841,50.734031,-6.50708,39.979477,68.491593,74.993768,9.113885,21.16645,85.940662,50,85.396977,1.6,36.166825,40,70.040367,3.389548
1211930.186,1.599227,49.180241,-5.784783,39.712041,68.326552,74.342786,9.196974,21.09961,85.94202,50,86.308935,1.6,5.149423,40,70.567126,3.276489
1211930.654,1.593347,49.456307,-7.364615,39.961033,68.133464,74.600189,9.17033,21.136091,85.944093,50,86.228818,1.6,6.084639,40,70.431288,2.725942
1211935.385,1.597295,50.779898,-6.218161,39.420013,68.354494,74.505623,9.173928,21.07869,85.940411,50,84.951826,1.6,28.84567,40,70.66409,3.938253
1211935.83,1.611744,50.486129,-7.668902,38.325677,68.473423,74.856159,9.263295,21.133869,85.940979,50,85.078066,1.6,30.494377,40,69.912733,3.008282
1211944.661,1.536852,50.251809,-6.328811,39.078801,68.807142,74.164805,9.125764,21.182011,85.933679,50,86.0989,1.6,1.162593,40,70.696606,2.490607
1211945.056,1.51396,50.233489,-7.247818,41.178328,68.965692,74.423999,9.05781,21.125541,85.942234,50,86.080177,1.6,0.12893,40,69.80552,2.946837
1211956.69,1.602924,49.706446,-8.879902,39.257092,68.720916,75.056447,9.098609,21.223674,85.939788,50,86.231677,1.6,16.614127,40,69.979761,4.15669
1211964.9,1.604772,49.736847,-5.495865,41.51954,68.040648,74.989364,9.154852,21.107773,85.935465,50,85.567262,1.6,3.450258,40,70.539961,3.5278
1211970.997,1.62716,49.755476,-7.063402,40.259209,68.287445,75.432071,9.142634,21.197949,85.939147,50,86.293095,1.6,14.691236,40,69.830258,3.540396
1211977.307,1.58629,50.234122,-6.110585,40.714158,67.426546,74.919143,9.095963,21.181467,85.940356,50,85.845739,1.6,40.291144,40,69.934511,3.905072
1211987.403,1.53555,50.247954,-7.11258,38.835957,68.250418,74.803509,9.085611,21.100185,85.941202,50,85.560959,1.6,0,40,71.039047,2.722869
1212023.799,1.615819,50.183724,-6.085996,39.576786,68.242966,74.785283,9.090027,21.095576,85.938459,50,85.954765,1.6,5.802428,40,71.103635,3.582793
1212026.001,1.615735,50.246291,-7.127948,40.621938,68.672241,75.124666,9.022445,21.053357,85.942829,50,85.730996,1.6,8.463327,40,70.76416,2.821489
1212032.01,1.599983,49.697352,-7.963968,41.537984,68.415273,74.685043,9.067863,20.980775,85.944605,50,86.239013,1.6,22.549143,40,70.940977,3.608907
1212048.356,1.610148,50.319984,-7.91479,38.983508,68.24854,74.738691,9.087517,21.160401,85.940402,50,86.025209,1.6,36.987366,40,71.039614,3.257441
1212056.503,1.562264,49.958071,-7.30007,41.470356,68.11873,75.414814,9.083648,21.115222,85.939537,50,85.662559,1.6,2.843525,40,71.263048,2.795067
1212072.833,1.613382,49.53075,-8.369684,40.083992,68.469795,74.803796,8.996246,21.062462,85.944438,50,86.171301,1.6,26.38307,40,70.508683,2.287224
1212083.036,1.592675,49.970917,-9.107348,41.399655,68.590155,74.949365,8.961012,21.186712,85.935046,50,86.516793,1.6,1.122376,40,69.878957,4.538264
1212085.16,1.621909,50.20843,-7.306217,38.72222,68.303451,75.066925,9.073775,21.065615,85.938477,50,86.257211,1.6,7.044883,40,70.359072,2.987698
1212093.451,1.615063,49.909041,-8.372757,40.000995,68.026533,75.099861,8.91858,21.200233,85.942624,50,85.672779,1.6,24.700446,40,70.789234,3.286013
1212099.389,1.576251,50.109237,-7.715006,39.539898,68.397177,74.916651,8.987762,21.156906,85.937594,50,85.824624,1.6,22.305167,40,69.914396,3.247917
1212103.552,1.569825,49.909953,-6.470197,38.774477,68.550366,74.629894,9.059452,21.226154,85.941583,50,85.73446,1.6,1.101478,40,71.361825,3.125027
1212123.737,1.601075,50.355785,-7.134095,40.686492,68.853737,74.824953,9.000935,21.228945,85.942262,50,85.521612,1.6,57.893674,40,70.393045,3.532715
1212127.975,1.517656,49.628325,-7.601283,40.004069,68.138865,74.920675,9.052059,21.106191,85.939872,50,85.978872,1.6,18.88281,40,70.735715,3.174183
1212134.066,1.55924,50.485055,-7.844097,38.906659,68.660566,74.408019,8.934203,21.17396,85.936618,50,85.468325,1.6,1.299171,40,71.111767,3.233785
1212149.583,1.621657,50.081426,-6.181278,42.57084,68.796912,74.860531,8.947616,21.137309,85.936339,50,85.50765,1.6,14.80428,40,69.303667,3.706298
1212149.993,1.627286,49.945107,-6.347253,40.864783,68.985193,75.070626,8.97202,21.104159,85.939286,50,85.612277,1.6,17.540503,40,70.125161,2.678936
1212152.307,1.638207,49.50962,-8.083838,39.137207,68.184463,75.5081,9.056272,21.098424,85.938793,50,86.064101,1.6,31.400608,40,71.030414,3.550534
1212153.499,1.635392,49.458677,-6.16591,39.30935,68.406207,74.953919,8.961058,21.136748,85.940755,50,86.315266,1.6,35.036464,40,70.791069,1.730839
1212153.923,1.607544,49.531089,-8.729295,41.347397,67.972126,74.998039,8.99765,21.145276,85.94229,50,86.334924,1.6,37.507814,40,70.011803,2.181846
1212164.502,1.554703,50.636604,-7.201714,38.353342,67.329766,74.384698,8.967884,21.157687,85.938793,50,85.339068,1.6,0.612215,40,70.732952,3.819971
1212170.641,1.583938,49.50313,-9.485401,38.568521,68.023741,74.877393,8.933398,21.043444,85.939426,50,85.765545,1.6,0.838848,40,71.068456,2.960047
