Time (sec),Water Level (ft),Water Flowrate (GPM),House Steam Pressure (psig),Steam Pressure (psig),Inlet Water Temperature (C),Outlet Water Temperature (C),Water Feed Temperature (C),Ambient Temperature (C),Ambient Pressure (kPa),Flow Setpoint (GPM),Flow Control Output (%),Level Setpoint (ft),Level Control Output (%),Steam Setpoint (psig),Steam Control Output (%),Tube-Side Pressure Drop (psig)
1208064.719,1.536516,34.709009,-6.556258,41.049221,65.337493,74.616387,9.930364,20.509894,85.976247,35,69.164338,1.6,0,40,68.755526,1.632834
1208072.893,1.578435,35.314983,-7.186346,39.195612,65.436581,74.701908,9.876288,20.469136,85.975038,35,67.75811,1.6,0.83911,40,69.068745,2.130232
1208080.986,1.659208,35.592476,-7.917864,40.625012,65.485745,74.800557,9.939365,20.505077,85.977679,35,68.37236,1.6,48.404295,40,69.453294,1.983685
1208087.153,1.538196,34.472349,-6.116732,41.510318,65.791552,74.992087,9.835813,20.48581,85.976861,35,68.505186,1.6,25.530011,40,68.006142,1.734526
1208103.41,1.605444,35.64027,-6.374915,40.874005,64.975269,74.616545,9.957368,20.410184,85.972816,35,68.471881,1.6,2.428103,40,68.948763,1.248802
1208117.774,1.582846,35.316234,-8.919858,38.805217,65.989702,74.988547,9.890768,20.399067,85.973811,35,68.531718,1.6,19.225294,40,69.302778,2.052811
1208122.115,1.532735,35.218056,-6.531669,41.584093,65.747673,75.064842,9.803845,20.486516,85.977307,35,68.217198,1.6,0,40,67.97912,1.51701
1208134.06,1.622371,35.328197,-8.935227,38.171978,65.617448,74.892962,9.84453,20.38923,85.978293,35,68.730677,1.6,23.185361,40,69.335422,2.125316
1208148.254,1.594733,35.618772,-8.182194,41.439617,65.914133,74.863288,9.837318,20.387748,85.974564,35,68.239611,1.6,2.147281,40,68.10673,1.725002
1208152.26,1.616449,34.956955,-8.219077,39.536824,65.308569,74.909112,9.943692,20.507972,85.973374,35,68.178302,1.6,3.195229,40,68.845902,1.495811
1208166.79,1.574781,34.738497,-6.943532,41.322805,65.666006,75.178368,9.857727,20.442925,85.967051,35,68.345857,1.6,1.076747,40,68.421276,1.437131
1208177.102,1.646355,35.729192,-7.570547,40.618864,66.084226,74.414039,9.801785,20.442555,85.971709,35,68.019149,1.6,18.971913,40,68.38868,1.517624
1208187.377,1.607922,35.370737,-7.742668,38.802143,65.97793,74.579952,9.854787,20.423622,85.968929,35,68.847924,1.6,10.428688,40,69.664118,1.933915
1208193.031,1.613592,35.315748,-7.616651,40.010217,65.074592,74.758436,9.888051,20.317808,85.969896,35,67.807376,1.6,2.900568,40,68.519903,1.544968
1208204.993,1.583434,35.301651,-6.371841,41.184476,65.151969,75.04754,9.846503,20.496955,85.96918,35,68.063626,1.6,9.647321,40,68.278709,1.051256
1208225.102,1.577679,35.018787,-6.571626,40.929336,65.961198,74.893043,9.81179,20.470208,85.975252,35,68.900853,1.6,37.580125,40,68.513563,1.357253
1208238.179,1.5865,35.138536,-7.438382,39.650561,65.780554,74.972478,9.710846,20.407754,85.965693,35,69.040368,1.6,1.54796,40,69.120925,2.552974
1208238.541,1.58797,35.143333,-8.277475,39.739707,65.670609,74.845788,9.807777,20.496314,85.970259,35,69.021341,1.6,0.729058,40,69.043311,1.921933
1208254.455,1.619389,35.21011,-6.915869,40.649604,65.724545,74.95486,9.817108,20.465357,85.968613,35,68.512576,1.6,33.403085,40,68.519356,1.847584
1208254.826,1.596791,35.212655,-6.433314,39.739707,65.58147,74.877133,9.707205,20.619659,85.972537,35,68.483166,1.6,33.151803,40,68.995926,1.527148
